Brand,Nama Produk,Harga,Harga Diskon,Diskon Persen,Link,Gambar,Material Atas,Material Dalam,Material Sol,Pengikat
Converse,Chuck Taylor All Star Lift Shoes,Rp 1.299.000,Rp 1.039.200,-20%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-lift-shoes-beige-4940501,https://dynamic.zacdn.com/HPP-1NSxjC-vmj1Iu3P31yPVw-s=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4351-1050494-1.jpg,: Textile,: Textile,: Rubber,: Tali
Converse,Chuck Taylor All Star,Rp 1.099.000,Rp 934.150,-15%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-black-4829163,https://dynamic.zacdn.com/hYccoXoxM9064sEnyNeGC1HejeA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2127-3619284-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star Lift,Rp 1.299.000,Rp 1.104.150,-15%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-lift-black-4829164,https://dynamic.zacdn.com/AGVyw9ln3_W0KQ5CtFYiL-O18e8=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-0044-4619284-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star,Rp 1.299.000,Rp 900.207,-31%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-black-4829174,https://dynamic.zacdn.com/BXAvukhs9vMyCFB_hDDE4Wa7bt0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2135-4719284-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star Move,Rp 1.499.000,Rp 1.038.807,-31%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-move-blue-4828824,https://dynamic.zacdn.com/zaaL_ONn1-IJ-Gk2pSU4jM8kHuY=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3652-4288284-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star Lift,Rp 1.599.000,Rp 1.079.325,-33%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-lift-beige-4839223,https://dynamic.zacdn.com/tVkhdpcvumB382L-V6avidQ9h7s=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-1541-3229384-1.jpg,: Tekstil,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star Lift - Ox,Rp 1.199.000,Rp 815.320,-32%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-lift-ox-white-4514605,https://dynamic.zacdn.com/ImzT8lsjlQCSZ7UTHKzDoGUp-Gc=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2126-5064154-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Chuck Taylor All Star Lift - Hi,Rp 1.299.000,Rp 883.320,-32%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-lift-hi-black-4514606,https://dynamic.zacdn.com/oAq3fFfBDtpFK7mA41AnMw4j5dg=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-9271-6064154-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Star Player 76 Sneakers,Rp 1.299.000,Rp 1.039.200,-20%,https://www.zalora.co.id/p/converse-star-player-76-sneakers-brown-4940357,https://dynamic.zacdn.com/ALsstPdNKEJA22d2nSJWpj-qFa0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2015-7530494-1.jpg,: Suede,: Textile,: Rubber,: Tali
Converse,Chuck Taylor Lugged Heel Mary Jane,Rp 1.599.000,Rp 1.359.150,-15%,https://www.zalora.co.id/p/converse-chuck-taylor-lugged-heel-mary-jane-black-4822173,https://dynamic.zacdn.com/FvPGSqVuQnAxMDoCAUacW0oxHyU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-5178-3712284-1.jpg,: Leather,: Tekstil,: Rubber,: Buckle / Bow
