Brand,Nama Produk,Harga Asli,Harga Diskon,Diskon Persen,Link,Gambar,Material Atas,Material Dalam,Material Sol,Pengikat
Nike,Nike Free Road Running Shoes,Rp 1.549.000,Rp 1.161.750,-25%,https://www.zalora.co.id/p/nike-nike-free-road-running-shoes-black-4788096,https://dynamic.zacdn.com/3LJ_viV_SKtl2wMNEdgZnB_l51w=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8649-6908874-1.jpg,: Knit,: Textile,: Rubber,: Tali
Nike,Court Vision Mid Next Nature Shoes,Rp 1.099.000,Rp 741.825,-33%,https://www.zalora.co.id/p/nike-court-vision-mid-next-nature-shoes-white-3199852,https://dynamic.zacdn.com/7oJMfY-7IIET2sgyl8tlxgUkcaw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-5497-2589913-1.jpg,: Polyurethane,: Textile,: Rubber,-
Nike,Winflo 11 Road Running Shoes,Rp 1.549.000,,,https://www.zalora.co.id/p/nike-winflo-11-road-running-shoes-black-4432609,https://dynamic.zacdn.com/5eNLxLH_h_lDVTZdIF_bsD7XDkI=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0766-9062344-1.jpg,: Mesh,: Textile,: Rubber,: Tali
Nike,Quest 6 Road Running Shoes,Rp 1.199.000,Rp 899.250,-25%,https://www.zalora.co.id/p/nike-quest-6-road-running-shoes-white-4904469,https://dynamic.zacdn.com/VcQAwLxR1qqZce2T3xT5osQvZO4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0937-9644094-1.jpg,: Mesh,: Textile,: Rubber,: Tali
Nike,Revolution 6 Road Running Shoes,Rp 799.000,,,https://www.zalora.co.id/p/nike-revolution-6-road-running-shoes-grey-4904203,https://dynamic.zacdn.com/JtQ-blqiibwseI6eFOxRpVAurgA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0919-3024094-1.jpg,: Textile,: Textile,: Rubber,: Tali
Nike,Run Defy Shoes,Rp 809.000,,,https://www.zalora.co.id/p/nike-run-defy-shoes-white-4905036,https://dynamic.zacdn.com/EMhmPZaIeImlhj2guvmFsDyHILA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-3605-6305094-1.jpg,: Mesh,: Textile,: Rubber,: Tali
Nike,Cortez Shoes,Rp 1.399.000,Rp 1.189.150,-15%,https://www.zalora.co.id/p/nike-cortez-shoes-green-4904978,https://dynamic.zacdn.com/R2jf3Rv405a1G1N6bJbRcdz_VIw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-4664-8794094-1.jpg,": Synthetic, Textile",: Textile,: Rubber,: Tali
Nike,Pegasus 41 Running Shoes,Rp 2.099.000,Rp 1.699.000,-19%,https://www.zalora.co.id/p/nike-pegasus-41-running-shoes-black-4674106,https://dynamic.zacdn.com/yotdD6WB-7QJCg-olChi5DqQ-z4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2813-6014764-1.jpg,": Mesh, Synthetic",: Textile,: Rubber,: Tali
Nike,Journey Run Shoes,Rp 1.399.000,Rp 1.189.150,-15%,https://www.zalora.co.id/p/nike-journey-run-shoes-silver-4914260,https://dynamic.zacdn.com/03LmDx17rIe6x_3WdPLlhc6uPG4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8778-0624194-1.jpg,: Mesh,: Textile,: Rubber,: Tali
Nike,W Court Royale 2 Shoes,Rp 749.000,Rp 636.650,-15%,https://www.zalora.co.id/p/nike-w-court-royale-2-shoes-white-3074336,https://dynamic.zacdn.com/kd9Z7Ot2vgw4eBkYpQb1-eVOIdk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0423-6334703-1.jpg,: Synthetic,: Textile,: Rubber,-
Nike,Terra Manta Shoes,Rp 1.299.000,Rp 1.039.200,-20%,https://www.zalora.co.id/p/nike-terra-manta-shoes-black-4788373,https://dynamic.zacdn.com/JdfsNWh_6P4wvC0VJh0yFi0CVcE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1152-3738874-1.jpg,: Textile/Synthetic,: Textile,: Rubber,: Tali
